Line Number	Verse Reference	Word	Suggested Fix	Full Line
30011	ΕΣΔΡΑΣ Α 1:9	Ἰεχονὶας	Ἰεχονίας	\vs{9}Καὶ Ἰεχονὶας, καὶ Σαμαίας, καὶ Ναθαναὴλ ὁ ἀδελφὸς, καὶ Ἀσαβίας, καὶ Ὀχίηλος, καὶ Ἰωρὰμ χιλίαρχοι ἔδωκαν τοῖς Λευίταις εἰς πάσχα πρόβατα πεντακισχίλια, μόσχους ἑπτακοσίους.
30183	ΕΣΔΡΑΣ Α 4:36	ἀλὴθειαν	ἀλήθειαν	\vs{36}Πᾶσα ἡ γῆ τὴν ἀλὴθειαν καλεῖ, καὶ ὁ οὐρανὸς αὐτὴν εὐλογεῖ, καὶ πάντα τὰ ἔργα σείεται καὶ τρέμει, καὶ οὐκ ἔστι μετʼ αὐτῆς ἄδικον οὐδέν.
30624	ΤΩΒΙΤ 1:20	Τωβὶου	Τωβίου	\vs{20}Καὶ διηρπάγη πάντα τὰ ὑπάρχοντά μου, καὶ οὐ κατελείφθη μοι οὐδὲν, πλὴν Ἄννας τῆς γυναικός μου, καὶ Τωβὶου τοῦ υἱοῦ μου.
30654	ΤΩΒΙΤ 3:5	ὃτι	ὅτι	\vs{5}Καὶ νῦν πολλαὶ αἱ κρίσεις σου εἰσιὶ καὶ ἀληθιναὶ, ἐξ ἐμοῦ ποιῆσαι περὶ τῶν ἁμαρτιῶν μου καὶ τῶν πατέρων μου, ὃτι οὐκ ἐποιήσαμεν τὰς ἐντολάς σου, οὐ γὰρ ἐπορεύθημεν ἐν ἀληθείᾳ ἐνώπιόν σου.
30790	ΤΩΒΙΤ 8:9	τὰφον	τάφον	\vs{9}Καὶ ἐκοιμήθησαν ἀμφότεροι τὴν νύκτα· καὶ ἀναστὰς Ῥαγουὴλ ἐπορεύθη, καὶ ὤρυξε τὰφον,
30907	ΤΩΒΙΤ 13:15	εὐλογεὶτω	εὐλογείτω	\vs{15}Ἡ ψυχή μου εὐλογεὶτω τὸν Θεὸν τὸν βασιλέα τὸν μέγαν,
30933	ΤΩΒΙΤ 14:15	πρὶνὴ	πρίνὴ	\vs{15}Καὶ ἤκουσε πρὶνὴ ἀποθανεῖν αὐτὸν, τὴν ἀπώλειαν Νινευὴ, ἣν ᾐχμαλώτισεν Ναβουχοδονόσορ, καὶ Ἀσύηρος, καὶ ἐχάρη πρὸ τοῦ ἀποθανεῖν ἐπὶ Νινευή.
30950	ΙΟΥΔΙΘ 1:9	Βετὰνη	Βετάνη	\vs{9}καὶ πάντας τοὺς ἐν Σαμαρείᾳ καὶ ταῖς πόλεσιν αὐτῆς, καὶ πέραν τοῦ Ἰορδάνου ἕως Ἱερουσαλὴμ, καὶ Βετὰνη, καὶ Χελλοὺς, καὶ Κάδης, καὶ τοῦ ποταμοῦ Αἰγύπτου, καὶ Ταφνὰς, καὶ Ῥαμεσσὴ,
30953	ΙΟΥΔΙΘ 1:11	Ναβουχοδονὸσορ	Ναβουχοδονόσορ	\vs{11}Καὶ ἐφαύλισαν πάντες οἱ κατοικοῦντες πᾶσαν τὴν γῆν τὸ ῥῆμα Ναβουχοδονὸσορ τοῦ βασιλέως Ἀσσυρίων, καὶ οὐ συνῆλθον αὐτῷ εἰς τὸν πόλεμον, ὅτι οὐκ ἐφοβήθησαν αὐτὸν, ἀλλ ἦν ἐναντίον αὐτῶν ὡς ἀνὴρ ἶσος· καὶ ἀνέστρεψαν τοὺς ἀγγέλους αὐτοῦ κενοὺς ἐν ἀτιμίᾳ πρὸ προσώπου αὐτῶν.
31239	ΙΟΥΔΙΘ 10:18	πὰσῃ	πάσῃ	\vs{18}Καὶ ἐγένετο συνδρομὴ ἐν πὰσῃ τῇ παρεμβολῇ· διεβοήθη γὰρ εἰς τὰ σκηνώματα ἡ παρουσία αὐτῆς· καὶ ἐλθόντες ἐκύκλουν αὐτὴν ὡς εἱστήκει ἔξω τῆς σκηνῆς Ὀλοφέρνου, ἕως προσήγγειλαν αὐτῷ περὶ αὐτῆς.
31284	ΙΟΥΔΙΘ 12:4	Κὺριος	Κύριος	\vs{4}Καὶ εἶπεν Ἰουδὶθ πρὸς αὐτὸν, ζῇ ἡ ψυχη σου, κύριέ μου, ὅτι οὐ δαπανήσι ἡ δούλη σου τὰ ὄντα μετʼ ἐμοῦ, ἕως ἂν ποιήσῃ Κὺριος ἐν χειρί μου ἃ ἐβουλεύσατο.
31828	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 14:11	ποσὶνἀφρόνων	ποσίνἀφρόνων	\vs{11}Διὰ τοῦτο καὶ ἐν εἰδώλοις ἐθνῶν ἐπισκοπὴ ἔσται, ὅτι ἐν κτίσματι Θεοῦ εἰς βδέλυγμα ἐγενήθησαν, καὶ εἰς σκάνδαλα ψυχαῖς ἀνθρώπων, καὶ εἰς παγίδα ποσὶνἀφρόνων.
31979	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 19:3	πὲνθη	πένθη	\vs{3}Ἔτι γὰρ ἐν χερσὶν ἔχοντες τὰ πὲνθη, καὶ προσοδυρόμενοι τάφοις νεκρῶν, ἕτερον ἐπεσπάσαντο λογισμὸν ἀνοίας, καὶ οὓς ἱκετεύοντες ἐξέβαλον, τούτους ὡς φυγάδας ἐδίωκον.
32403	ΣΟΦΙΑ ΣΕΙΡΑΧ 12:18	κεφαλὴναὐτοῦ	κεφαλήναὐτοῦ	\vs{18}Κινήσει τὴν κεφαλὴναὐτοῦ, καὶ ἐπικροτήσει ταῖς χερσὶν αὐτοῦ, καὶ πολλὰ διαψιθυρίσει, καὶ ἀλλοιώσει τὸ πρόσωπον αὐτοῦ.
33048	ΣΟΦΙΑ ΣΕΙΡΑΧ 31:13	Κυρὶον	Κυρίον	\vs{13}Πνεῦμα φοβουμένων Κυρὶον ζήσεται, ἡ γὰρ ἐλπὶς αὐτῶν ἐπὶ τὸν σώζοντα αὐτούς.
33058	ΣΟΦΙΑ ΣΕΙΡΑΧ 31:22	Φὸνεύων	Φόνεύων	\vs{22}Φὸνεύων τὸν πλησίον ὁ ἀφαιρούμενος συμβίωσιν, καὶ ἐκχέων αἷμα ὁ ἀποστερῶν μισθὸν μισθίου.
33464	ΣΟΦΙΑ ΣΕΙΡΑΧ 43:25	παρὰδοξα	παράδοξα	\vs{25}Καὶ ἐκεῖ τὰ παρὰδοξα καὶ θαυμάσια ἔργα, ποικιλία παντὸς ζώου, κτίσις κητῶν.
33717	ΣΟΦΙΑ ΣΕΙΡΑΧ 51:25	στὸμα	στόμα	\vs{25}Ἤνοιξα τὸ στὸμα μου, καὶ ἐλάλησα, κτήσασθε ἑαυτοῖς ἄνευ ἀργυριου.
33936	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:5	λὰβῃ	λάβῃ	\vs{5}Εὐλαβήθητε οὖν μὴ καὶ ὑμεῖς ἀφομοιωθέντες τοῖς ἀλλοφύλοις ἀφομοιωθῆτε, καὶ φόβος ὑμᾶς λὰβῃ ἐπʼ αὐτοῖς, ἰδόντας ὄχλον ἔμπροσθεν καὶ ὄπισθεν αὐτῶν προσκυνοῦντας αὐτά.
33979	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:39	ὡμοιωμὲνοι	ὡμοιωμένοι	\vs{39}Τοῖς ἀπὸ τοῦ ὄρους λίθοις ὡμοιωμὲνοι εἰσὶ τὰ ξύλινα, καὶ τὰ περίχρυσα, καὶ τὰ περιάργυρα, οἱ δὲ θεραπεύοντες αὐτὰ καταισχυνθήσονται.
33982	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:41	αἰσθὲσθαι	αἰσθέσθαι	\vs{41}Οἳ ὅταν ἴδωσιν ἐνεὸν μὴ δυνάμενον λαλῆσαι, προσενεγκάμενοι τὸν Βῆλον, ἀξιοῦσι φωνῆσαι, ὠς δυνατοῦ ὄντος αὐτοῦ αἰσθὲσθαι.
33985	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:43	σχοινὶα	σχοινία	\vs{43}Αἱ δὲ γυναῖκες περιθέμεναι σχοινὶα, ἐν ταῖς ὁδοῖς ἐγκάθηνται, θυμιῶσαι τὰ πίτυρα· ὅτας δέ τις αὐτῶν ἐφελκυσθεῖσα ὑπό τινος τῶν παραπορευομένων κοιμηθῇ, τὴν πλησίον ὀνειδίζει, ὅτι οὐκ ἠξίωται ὥσπερ καὶ αὐτὴ, οὔτε τὸ σχοινίον αὐτῆς διεῤῥάγη.
33988	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:45	γὲνηται	γένηται	\vs{45}Ὑπὸ τεκτόνων καὶ χρυσοχόων κατεσκευασμένα εἰσίν· οὐθὲν ἄλλο μὴ γὲνηται, ἢ ὃ βούλονται οἱ τεχνίται αὐτὰ γενέσθαι.
33995	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:51	ὃτι	ὅτι	\vs{51}Τοῖς ἔθνεσι πᾶσι τοῖς τε βασιλεῦσι φανερὸν ἔσται ὃτι οὐκ εἰσὶ θεοὶ, ἀλλὰ ἔργα χειρῶν ἀνθρώπων, καὶ οὐδὲν Θεοῦ ἔργον ἐν αὐτοῖς ἐστι.
33998	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:53	Βασιλὲα	Βασιλέα	\vs{53}Βασιλὲα γὰρ χώρας οὐ μὴ ἀναστήσωσιν, οὔτε ὑετὸν ἀνθρώποις οὐ μὴ δῶσι.
33999	ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ 1:54	ἀδὺνατοι	ἀδύνατοι	\vs{54}Κρίσιν τε οὐ μὴ διακρίνωσιν ἑαυτῶν, οὐδὲ μὴ ῥύσωνται ἀδίκημα, ἀδὺνατοι ὄντες· ὥσπερ γὰρ κορῶναι ἀναμέσον τοῦ οὐρανοῦ καὶ τῆς γῆς.
35320	ΜΑΚΚΑΒΑΙΩΝ Α 14:35	ἡγοὺμενον	ἡγούμενον	\vs{35}Καὶ εἶδεν ὁ λαὸς τὴς πρᾶξιν τοῦ Σίμωνος, καὶ τὴν δόξαν ἣν ἐβουλεύσατο ποιῆσαι τῷ ἔθνει αὐτοῦ, καὶ ἔθεντο αὐτὸν ἡγοὺμενον αὐτῶν καὶ ἀρχιερέα, διὰ τὸ αὐτὸν πεποιηκέναι πάντα ταῦτα, καὶ τὴν δικαιοσύνην, καὶ τὴν πίστιν ἣν συνετήρησε τῷ ἔθνει αὐτοῦ, καὶ ἐζήτησε παντὶ τρόπῳ ὑψῶσαι τὸν λαὸν αὐτοῦ.
36231	ΜΑΚΚΑΒΑΙΩΝ Β 15:36	τὴνδε	τήνδε	\vs{36}Καὶ ἐδογμάτισαν πάντες μετὰ κοινοῦ ψηφίσματος μηδαμῶς ἐᾶσαι ἀπαρασήμαντον τὴνδε τὴν ἡμέραν· ἔχειν δὲ ἐπίσημον τὴν τρισκαιδεκάτην τοῦ δωδεκάτου μηνὸς, Ἄδαρ λέγεται τῇ Συριακῇ φωνῇ, πρὸ μιᾶς ἡμέρας τῆς Μαρδοχαϊκῆς ἡμέρας.
36298	ΜΑΚΚΑΒΑΙΩΝ Γ 2:10	ὃτι	ὅτι	\vs{10}Καὶ ἀγαπῶν τὸν οἶκον τοῦ Ἰσραὴλ, ἐπηγγείλω δὴ ὃτι ἐὰν γένηται ἡμῶν ἀποστροφὴ, καὶ καταλάβῃ ἡμᾶς στενοχωρία, καὶ ἐλθόντες εἰς τὸν τόπον τοῦτου δεηθῶμεν, εἰσακούσῃ τῆς δεήσεως ἡμῶν.
36371	ΜΑΚΚΑΒΑΙΩΝ Γ 3:29	τὸπος	τόπος	\vs{29}Πᾶς δὲ τὸπος οὗ ἐὰν φωραθῇ τὸ σύνοκον σκεπαζόμενος Ἰουδαῖος, ἄβατος καὶ πυριφλεγὴς γινέσθω, καὶ πάσῃ θνητῇ φύσει κατὰ πάντα ἄχρηστος φανήσεται εἰς τὸν ἀεὶ χρόνον.
36378	ΜΑΚΚΑΒΑΙΩΝ Γ 4:3	τὸπος	τόπος	\vs{3}Τίς νομὸς ἢ πόλις, ἢ τίς τὸ σύνολον οἰκητὸς τὸπος, ἢ τίνες ἀγυιαὶ κοπετοῦ καὶ γόων ἐπʼ αὐτοῖς οὐκ ἐμπιπλῶντο;
36390	ΜΑΚΚΑΒΑΙΩΝ Γ 4:11	Σχεδὶαν	Σχεδίαν	\vs{11}Τούτων δὲ ἐπὶ τὴν λεγομένην Σχεδὶαν ἀχθέντων, καὶ τοῦ παράπλου περανθέντος, καθὼς ἦν δεδογματισμένον τῷ βασιλεῖ, προσέταξεν αὐτοὺς ἐν τῷ πρὸ τῆς πόλεως ἱπποδρόμῳ παρεμβαλεῖν ἀπλέτῳ καθεστῶτι περιμέτρῳ, καὶ πρὸς παραδειγματισμὸν ἄγαν εὐκαιροτάτῳ καθεστῶτι πᾶσι τοῖς καταπορευομένοις εἰς τὴν πόλιν, καὶ τοῖς ἐκ τούτων εἰς τὴν χώραν στελλομένοις πρὸς ἐκδημίαν· πρὸς τὸ μηδὲ ταῖς δυνάμεσιν αὐτοῦ κοινωνεῖν, μηδὲ τὸ σύνολον καταξιῶσαι περιβόλων.
36394	ΜΑΚΚΑΒΑΙΩΝ Γ 4:14	κατὰπονον	κατάπονον	\vs{14}οὐ γὰρ τὴν ἔμπροσθε βραχεῖ προδεδηλωμένην τῶν ἔργων κατὰπονον λατρείαν, στρεβλωθέντας δὲ ταῖς παρηγγελμέναις αἰκίαις τὸ τέλος ἀφανίσαι μιᾶς ὑπὸ καιρὸν ἡμέρας.
36395	ΜΑΚΚΑΒΑΙΩΝ Γ 4:15	τοὺτων	τούτων	\vs{15}Ἐγίνετο μὲν οὖν ἡ τοὺτων ἀπογραφὴ μετὰ πικρᾶς σπουδῆς καὶ φιλοτίμου προσεδρίας ἀπὸ ἀνατολῶν ἡλίου μέχρι δυσμῶν, ἀνήνυτον λαμβάνουσα τὸ τέλος επὶ ἡμέρας τεσσαράκοντα.
36400	ΜΑΚΚΑΒΑΙΩΝ Γ 4:18	τὸπον	τόπον	\vs{18}τῶν μὲν κατὰ τὰς οἰκίας ἔτι συνεστηκότων, τῶν δὲ καὶ κατὰ τὸπον, ὡς ἀδυνάτου καθεστῶτος πᾶσι τοῖς ἐπʼ Αἴγυπτον στρατηγοῖς,
36590	ΜΑΚΚΑΒΑΙΩΝ Δ 1:16	τοὶνυν	τοίνυν	\vs{16}Σοφία δὴ τοὶνυν ἐστὶν γνῶσις θείων καὶ ἀνθρωπίνων πραγμάτων, καὶ τῶν τούτων αἰτίων.
36600	ΜΑΚΚΑΒΑΙΩΝ Δ 1:24	ὃτε	ὅτε	\vs{24}Θυμὸς δὲ κοινὸν πάθος ἐστὶν ἡδονῆς καὶ πόνου, ἐὰν ἐννοηθῇ τις ὃτε αὐτῷ περιέπεσεν.
36605	ΜΑΚΚΑΒΑΙΩΝ Δ 1:28	πὸνου	πόνου	\vs{28}Καθάπερ οὖν δυοῖν τοῦ σώματος καὶ τῆς ψυχῆς φυτῶν ὄντων ἡδονῆς τε καὶ πὸνου, πολλαὶ τούτων τῶν παθῶν εἰσιν παραφυάδες.
36611	ΜΑΚΚΑΒΑΙΩΝ Δ 1:33	ὀρὲξεων	ὀρέξεων	\vs{33}Ἐπεὶ πόθεν κινούμενοι πρὸς τὰς ἀπειρημένας τοοφὰς, ἀποτρεπόμεθα τὰς ἐξ ἑαυτῶν ἡδονάς; οὐχ ὅτι δύναται τῶν ὀρὲξεων ἐπικρατεῖν ὁ λογισμός; ἐγὼ μὲν οἶμαι.
36693	ΜΑΚΚΑΒΑΙΩΝ Δ 4:14	παραδὸξως	παραδόξως	\vs{14}Καὶ ὁ μὲν παραδὸξως διασωθεὶς ᾤχετο, δηλώσων τῷ βασιλεῖ τὰ συμβάντα αὐτῷ.
36718	ΜΑΚΚΑΒΑΙΩΝ Δ 5:6	ἂρξασθαι	ἄρξασθαι	\vs{6}ἐγὼ πρὶν ἂρξασθαι τῶν κατὰ σοῦ βασάνων, ὦ πρεσβύτα, συμβουλεύσαιμʼ ἄν σοι ταῦτα ὅπως ἀπογευσάμενος τῶν ὑείων σώζοιο· αἰδοῦμαι γάρ σου τὴν ἡλικίαν καὶ τὴν πολιὰν, ἥν μετὰ τοσοῦτον ἔχων χρόνον, οὔ μοι δοκεῖς φιλοσοφεῖν, τῇ Ἰουδαιων χρώμενος θρησκείᾳ.
36809	ΜΑΚΚΑΒΑΙΩΝ Δ 7:5	διὰνοιαν	διάνοιαν	\vs{5}Ὥσπερ γὰρ πρόκρημνον ἄκραν, τὴν ἑαυτοῦ διὰνοιαν ὁ πατὴρ Ἐλεάζαρος ἐκτείνας, περιέκλασεν τοὺς μαινομένους τῶν παθῶν κλύδωνας.
36815	ΜΑΚΚΑΒΑΙΩΝ Δ 7:9	λὸγους	λόγους	\vs{9}Σὺ πάτερ, τὴν εὐνομίαν ἡμῶν διὰ τῶν ὑπομονῶν εἰς δόξαν ἐκύρωσας, καὶ τὴν ἁγιαστίαν σεμνολογήσας οὐ κατέλυσας, καὶ διὰ τῶν ἔργων ἐπιστοποίησας τοὺς τῆς φιλοσοφίας λὸγους.
36862	ΜΑΚΚΑΒΑΙΩΝ Δ 8:21	βασιλὲα	βασιλέα	\vs{21}Συγγνώσεται δὲ ἡμῖν καὶ ἡ θεία δίκη διʼ ἀνάγκην τὸν βασιλὲα φοβηθεῖσιν.
36878	ΜΑΚΚΑΒΑΙΩΝ Δ 9:6	βασανισμὸυς	βασανισμόυς	\vs{6}Εἰ δʼ οἱ γέροντες τῶν Ἑβραίων διὰ τὴν εὐσέβειαν καὶ βασανισμὸυς ὑπομείναντες ἀπέθανον, ἀποθάνοιμεν ἂν δικαιότερον ἡμεῖς οἱ νέοι, τὰς βασάνους τῶν σῶν ἀναγκῶν ὑπεριδόντες, ἃς καὶ ὁ παιδευτὴς γέρων ἐνίκησεν.
36892	ΜΑΚΚΑΒΑΙΩΝ Δ 9:17	διὰκονοι	διάκονοι	\vs{17}ὁ δὲ εἶπεν, οὐχ οὕτως ἰσχυρὸς ὑμῶν ἐστιν ὁ τρόπος, ὦ μιαιροὶ διὰκονοι, ὥστε μου τὸν λογισμὸν ἄξαι· τέμνετέ μου μέλη, καὶ πυροῦτε τὰς σάρκας, καὶ στρεβλοῦτε τὰ ἄρθρα.
36980	ΜΑΚΚΑΒΑΙΩΝ Δ 12:4	τὲλος	τέλος	\vs{4}Τῆς μὲν τῶν ἀδελφῶν σου ἀπονοίας τὸ τὲλος ὁρᾷς· διὰ γὰρ ἀπείθειαν στρεβλωθέντες τεθνήκασιν, σὺ, εἰ μὲν μὴ πεισθείης, τὰλας βασανισθεὶς καὶ πασανισθεὶς καὶ αὐτὸς τεθνήξῃ πρὸ ὥρας.
36980	ΜΑΚΚΑΒΑΙΩΝ Δ 12:4	τὰλας	τάλας	\vs{4}Τῆς μὲν τῶν ἀδελφῶν σου ἀπονοίας τὸ τὲλος ὁρᾷς· διὰ γὰρ ἀπείθειαν στρεβλωθέντες τεθνήκασιν, σὺ, εἰ μὲν μὴ πεισθείης, τὰλας βασανισθεὶς καὶ πασανισθεὶς καὶ αὐτὸς τεθνήξῃ πρὸ ὥρας.
37008	ΜΑΚΚΑΒΑΙΩΝ Δ 13:4	ἐπεκρὰτησεν	ἐπεκράτησεν	\vs{4}Καὶ οὐκ ἐστὶν παριδεῖν τὴν ἡγεμονίαν· ἐπεκρὰτησεν γὰρ καὶ πὰθους καὶ πὸνων.
37008	ΜΑΚΚΑΒΑΙΩΝ Δ 13:4	πὰθους	πάθους	\vs{4}Καὶ οὐκ ἐστὶν παριδεῖν τὴν ἡγεμονίαν· ἐπεκρὰτησεν γὰρ καὶ πὰθους καὶ πὸνων.
37008	ΜΑΚΚΑΒΑΙΩΝ Δ 13:4	πὸνων	πόνων	\vs{4}Καὶ οὐκ ἐστὶν παριδεῖν τὴν ἡγεμονίαν· ἐπεκρὰτησεν γὰρ καὶ πὰθους καὶ πὸνων.
37009	ΜΑΚΚΑΒΑΙΩΝ Δ 13:5	παθοκρὰτειαν	παθοκράτειαν	\vs{5}Πῶς οὖν οὐκ ἐστὶν τούτοις τὴν εὐλογιστίας παθοκρὰτειαν ὁμολογεῖν, οἱ τῶν μὲν διὰ πυρὸς ἀλγησόνων οὐκ ἐπεστράφησαν;
37010	ΜΑΚΚΑΒΑΙΩΝ Δ 13:6	παρὲχουσιν	παρέχουσιν	\vs{6}Καθάπερ γὰρ προπλήταις λιμένων πύργοις τὰς κυμάτων ἀπειλὰς ἀνακόπτοντες, γαληνὸν παρὲχουσιν τοῖς εἰσπλέουσιν τὸν ὅρμον.
37128	ΜΑΚΚΑΒΑΙΩΝ Δ 16:15	ὃτε	ὅτε	\vs{15}Καὶ γὰν ὃτε συνελήφθης μετὰ τῶν παίδων, εἱστήκεις τὸν Ἐλεάζαρον ὁρῶσα βασανιζόμενον, καὶ ἔλεγες τοῖς παισὶν ἐν τῇ Ἑβοαΐδι φωνῇ,
